   YEAR     MONTH      DAY       HOUR      MIN       SEC       RECNO     KINDAT      KINST       UT1_UNIX        UT2_UNIX       GDLAT      GLON       GDALT       SAT_ID         MLT         MLAT       MLONG         NE       HOR_ION_V VERT_ION_V       BD        B_FORWARD       B_PERP       DIFF_BD      DIFF_B_FOR   DIFF_B_PERP  
     2013         5        14        12         0         0      43200      10117       8100 1368532800.000   1368532801.000      -73.40     118.89     870.64             17     16.97083     -87.79     117.48   8.83220e+10     -778.9       88.0  -4.16080e-05  -8.79000e-07  -5.07400e-06  -1.32000e-07   4.10000e-08   1.31000e-07  
     2013         5        14        12         0         1      43201      10117       8100 1368532801.000   1368532802.000      -73.35     118.79     870.62             17     16.97898     -87.74     117.96   8.80480e+10     -769.8       83.4  -4.16110e-05  -8.58000e-07  -5.07600e-06  -1.31000e-07   4.20000e-08   1.30000e-07  
     2013         5        14        12         0         2      43202      10117       8100 1368532802.000   1368532803.000      -73.30     118.69     870.60             17     16.98713     -87.68     118.43   8.82960e+10     -751.5       83.4  -4.16140e-05  -8.38000e-07  -5.07700e-06  -1.30000e-07   4.30000e-08   1.33000e-07  
     2013         5        14        12         0         3      43203      10117       8100 1368532803.000   1368532804.000      -73.25     118.60     870.59             17     16.99528     -87.63     118.91   8.86190e+10     -760.7       78.8  -4.16170e-05  -8.18000e-07  -5.07700e-06  -1.31000e-07   4.30000e-08   1.37000e-07  
     2013         5        14        12         0         4      43204      10117       8100 1368532804.000   1368532805.000      -73.20     118.50     870.57             17     17.00343     -87.57     119.38   8.87930e+10     -760.7       78.8  -4.16200e-05  -7.98000e-07  -5.07700e-06  -1.30000e-07   4.30000e-08   1.33000e-07  
     2013         5        14        12         0         5      43205      10117       8100 1368532805.000   1368532806.000      -73.15     118.40     870.55             17     17.01157     -87.52     119.86   7.58260e+10     -778.9      115.8  -4.16230e-05  -7.79000e-07  -5.07700e-06  -1.30000e-07   4.10000e-08   1.31000e-07  
     2013         5        14        12         0         6      43206      10117       8100 1368532806.000   1368532807.000      -73.09     118.30     870.53             17     17.01972     -87.46     120.33   4.80320e+10     -838.1      176.0  -4.16260e-05  -7.58000e-07  -5.07700e-06  -1.30000e-07   4.20000e-08   1.32000e-07  
     2013         5        14        12         0         7      43207      10117       8100 1368532807.000   1368532808.000      -73.04     118.21     870.51             17     17.02787     -87.41     120.81   4.80610e+10     -820.0      162.1  -4.16280e-05  -7.39000e-07  -5.07700e-06  -1.30000e-07   4.10000e-08   1.32000e-07  
     2013         5        14        12         0         8      43208      10117       8100 1368532808.000   1368532809.000      -72.99     118.11     870.49             17     17.03602     -87.35     121.29   5.70380e+10     -788.0      134.3  -4.16320e-05  -7.18000e-07  -5.07700e-06  -1.31000e-07   4.20000e-08   1.33000e-07  
     2013         5        14        12         0         9      43209      10117       8100 1368532809.000   1368532810.000      -72.94     118.01     870.47             17     17.04417     -87.30     121.76   5.83820e+10     -756.1      134.3  -4.16330e-05  -6.99000e-07  -5.07700e-06  -1.31000e-07   4.10000e-08   1.34000e-07  
