OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170909
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2017 250  0  0    4.75   -5.45    0.78  -390.1   1.76   -23    94    42    20
2017 250  0  1    1.44   -2.43    1.00  -404.2   1.59   -39    82    42    19
2017 250  0  2    1.69   -1.94    0.64  -433.5   1.85   -27    97    42    21
2017 250  0  3    1.29   -2.88    0.90  -471.3   4.03   -45    96    42    19
2017 250  0  4    1.09   -1.88    0.23  -493.8   6.03   -29    78    41    19
2017 250  0  5    2.80   -2.61    0.51  -390.4   1.70   -33    62    42    19
2017 250  0  6    1.48   -2.97    0.09  -390.2   1.61   -37    73    43    17
2017 250  0  7    1.37   -2.49   -0.20  -390.8   1.56   -38    92    43    17
2017 250  0  8    4.64   -4.32    0.37  -588.3   9.61   -40    82    43    18
2017 250  0  9    0.96   -1.92   -0.52  -588.3   9.61   -43    64    42    18
2017 250  0 10    2.79   -3.87    2.12  -585.9  12.00   -42    72    42    17
2017 250  0 11    1.85   -4.67    4.52  -584.6  13.54   -47    72    43    18
2017 250  0 12    2.66   -3.05    1.74  -568.7  11.85   -50    81    43    18
2017 250  0 13    4.28   -2.83    0.09  -425.3   3.60   -62    78    43    17
2017 250  0 14    2.47   -5.20    1.54  -381.0   1.80   -66    68    44    17
2017 250  0 15    4.59   -4.53    1.94  -417.3   2.28   -54    72    45    18
2017 250  0 16    3.06  -12.81    2.45  -417.6   2.29   -58    81    46    18
2017 250  0 17    4.62   -7.60    2.02 99999.9 999.99   -62    74    46    18
2017 250  0 18    3.58  -10.02    1.85 99999.9 999.99   -82    93    44    16
2017 250  0 19    7.62   -6.87    4.43  -556.7  11.33   -82    95    42    18
2017 250  0 20    3.15  -10.34    1.02  -559.7  10.33   -65    76    43    21
2017 250  0 21    4.39   -7.49    1.16  -564.4   8.78   -51    71    44    23
2017 250  0 22    4.78   -3.83    2.18  -564.4   8.78   -29    69    48    22
2017 250  0 23 9999.99 9999.99 9999.99 99999.9 999.99   -41    74    48    20
2017 250  0 24    0.95   -3.70    4.85  -575.0   8.32   -49    70    50    20
2017 250  0 25    1.79   -3.65    7.53  -575.0   8.32   -78    83    47    18
2017 250  0 26   -2.27   -2.32    5.25  -528.0  11.28   -84   100    44    19
2017 250  0 27   -4.68   -2.59    5.09  -549.0  11.91   -63    70    42    21
2017 250  0 28    1.84   -7.42    6.08  -563.6  10.11   -32    51    43    24
2017 250  0 29    1.48   -5.81    9.91  -570.3  10.12   -31    64    44    24
2017 250  0 30    0.80   -7.44    6.06  -564.8  10.55   -18    45    48    23
2017 250  0 31    1.24   -4.96    8.23  -574.1  11.96   -45    76    49    18
2017 250  0 32    2.41   -9.15    4.81  -586.7  13.39   -73    97    48    18
2017 250  0 33    0.92   -6.24    8.49  -583.1   9.17   -57    76    48    21
2017 250  0 34    1.93   -5.54    5.10  -569.2   9.28   -48    84    47    21
2017 250  0 35    1.45   -6.54    5.61  -507.9   7.89   -54    91    46    22
2017 250  0 36    2.51   -6.16    4.28  -578.2  10.63   -41    66    46    24
2017 250  0 37    2.99   -8.85    4.78 99999.9 999.99   -26    62    48    25
2017 250  0 38    1.60   -4.97   10.33 99999.9 999.99   -34    80    50    21
2017 250  0 39   -0.10   -0.07   10.75  -586.7  12.41   -47    83    51    18
2017 250  0 40   -0.58    0.03   11.25  -590.2  13.04   -49    89    52    21
2017 250  0 41    0.45   -0.50    9.14  -541.2  11.45   -37    99    51    21
2017 250  0 42   -0.65   -1.03   12.03  -481.8   8.56   -28    72    52    21
2017 250  0 43   -0.40   -1.76   12.72  -589.2  15.89   -15    73    55    23
2017 250  0 44    1.24   -9.23   10.84  -591.7  15.65   -19    86    56    22
2017 250  0 45    1.12   -4.20   10.64  -592.0  15.63   -28    89    55    22
2017 250  0 46   -0.03    6.06   12.47 99999.9 999.99   -25    92    56    22
2017 250  0 47   -0.33    4.80   13.07 99999.9 999.99   -42   105    52    19
2017 250  0 48   -0.83    7.16   12.47  -600.3  11.42   -39    74    51    26
2017 250  0 49   -1.44    7.23   12.46  -600.3  11.42    -9    82    49    24
2017 250  0 50   -2.13    7.46   12.84  -597.0  10.99   -64    72    49    26
2017 250  0 51   -1.50    5.20   13.95  -596.2  10.50    -6    63    48    23
2017 250  0 52   -0.62    5.44   14.14  -595.1   9.73   -36    74    48    25
2017 250  0 53    0.07    4.51   14.45  -594.0  10.03    -4    64    48    25
2017 250  0 54    0.45    4.54   14.82  -593.6  10.16     1    66    46    25
2017 250  0 55    0.25    3.62   15.10  -590.7   9.90     2    60    47    26
2017 250  0 56    0.08    3.46   15.02  -590.8   9.97     4    61    46    27
2017 250  0 57   -0.37    3.14   15.14  -591.5  10.11     1    62    46    26
2017 250  0 58    0.71    3.19   15.19  -585.1  10.07    -6    50    46    28
2017 250  0 59    0.77    1.57   14.74  -584.9  10.07    -3    48    47    28
2017 250  1  0    2.03  -11.86    3.68  -592.3  12.57    -3    52    48    28
2017 250  1  1    2.20  -13.26    4.81  -592.5  12.63    -3    63    48    26
2017 250  1  2    1.22  -13.28    6.32  -585.0  12.10    -3    54    50    29
2017 250  1  3    0.66  -13.15    8.00  -585.0  12.10     5    61    51    28
2017 250  1  4    1.13  -13.46    7.30  -577.2  12.73   -30    59    52    25
2017 250  1  5    1.04  -14.27    7.09  -577.2  12.73     5    63    52    24
2017 250  1  6    2.14  -14.09    3.41 99999.9 999.99    13    56    53    27
2017 250  1  7    1.66  -13.81    4.04  -574.3  14.69     9    72    52    27
2017 250  1  8    1.57  -13.75    4.27  -576.2  13.89     4    82    52    23
2017 250  1  9   -0.74  -13.96    2.82  -573.1  14.68     3    88    51    24
2017 250  1 10    2.59  -13.36    4.50  -568.3  16.12     4    91    50    26
2017 250  1 11    4.18  -11.95    5.23  -577.4  15.76     2    91    49    26
2017 250  1 12    3.68  -11.79    5.37  -577.5  15.76     4    85    49    26
2017 250  1 13    4.22  -12.13    5.00  -575.4  15.42     9    87    49    26
2017 250  1 14    4.39  -12.42    5.33  -575.4  15.42     6    85    50    25
2017 250  1 15    1.95  -13.31    5.48  -575.4  15.42    -3    86    50    24
2017 250  1 16    1.88  -13.80    5.81  -573.3  13.21    -4   103    50    23
2017 250  1 17    2.23  -13.19    5.60  -573.3  13.21    -7   105    50    23
2017 250  1 18    2.58  -13.43    5.61 99999.9 999.99    -6   102    49    24
2017 250  1 19    1.19  -13.43    4.47 99999.9 999.99    -7   104    49    23
2017 250  1 20    1.21  -14.42    4.91  -556.6  11.70   -10   110    49    24
2017 250  1 21    0.75  -14.40    4.89  -562.1  11.72   -13   115    48    23
2017 250  1 22    1.25  -14.15    4.40  -568.5  11.75    -6   102    48    27
2017 250  1 23    2.83  -13.97    3.73 99999.9 999.99    -1    94    50    28
2017 250  1 24    0.50  -13.69    6.49  -564.0  11.97    -3    96    51    27
2017 250  1 25    1.59  -12.96    6.03  -567.2  12.35    -8   106    52    25
2017 250  1 26    1.06  -12.25    6.17  -570.4  13.96   -12    98    52    24
2017 250  1 27    0.19  -10.76    6.77  -570.4  14.06   -10    92    51    26
2017 250  1 28   -0.18  -10.43    7.17  -569.0  15.01   -12   103    51    27
